FID IID PC1 PC2 PC3
HCB181 1 0.1068 -0.0439 -0.0735
HCB182 1 0.1158 0.0425 -0.0496
HCB183 1 0.1093 -0.1089 -0.0233
HCB184 1 0.1011 0.0789 -0.0914
HCB185 1 0.1059 -0.1633 0.0713
HCB186 1 0.1083 -0.034 -0.0206
HCB187 1 0.0858 -0.0977 0.131
HCB188 1 0.1067 -0.1758 -0.0743
HCB189 1 0.0994 0.1069 0.0037
HCB190 1 0.1457 0.1893 -0.2658
HCB191 1 0.1026 0.0381 -0.0252
HCB192 1 0.1138 -0.0361 -0.2695
HCB193 1 0.0825 -0.1864 0.1234
HCB194 1 0.0965 0.0526 0.0808
HCB195 1 0.1015 -0.3013 0.226
HCB196 1 0.0847 0.0193 0.0393
HCB197 1 0.0893 0.1369 -0.013
HCB198 1 0.0962 -0.0673 -0.0295
HCB199 1 0.1167 0.0348 0.0454
HCB200 1 0.1115 0.15 -0.173
HCB201 1 0.0882 -0.0975 0.1417
HCB202 1 0.1251 0.1495 4e-04
HCB203 1 0.0797 0.0917 0.0441
HCB204 1 0.0804 -0.0925 -0.0556
HCB205 1 0.0875 0.1071 -0.0259
HCB206 1 0.1357 -0.1023 -0.1018
HCB207 1 0.0977 0.0719 0.2664
HCB208 1 0.1088 -0.1029 0.0312
HCB209 1 0.0882 -0.0162 -0.0444
HCB210 1 0.1185 0.1022 -0.0881
HCB211 1 0.1033 0.0308 -0.0281
HCB212 1 0.0886 0.1186 -0.0228
HCB213 1 0.0901 -0.1059 0.149
HCB214 1 0.0951 0.2053 0.1173
HCB215 1 0.0812 -0.1384 0.0521
HCB216 1 0.1004 -0.1373 0.0055
HCB217 1 0.0871 0.0218 0.0992
HCB218 1 0.1212 0.2043 0.046
HCB219 1 0.0839 0.0393 0.0014
HCB220 1 0.1162 -0.0952 -0.0611
HCB221 1 0.1234 -0.0053 0.007
HCB222 1 0.0904 0.0051 -0.0635
HCB223 1 0.1003 -0.0207 0.2017
HCB224 1 0.1177 0.123 -0.1202
HCB225 1 0.1286 -0.085 -0.0453
JPT226 1 -0.1081 0.0122 0.0547
JPT227 1 -0.0878 0.1447 0.1946
JPT228 1 -0.0699 -0.1364 -0.0435
JPT229 1 -0.1406 0.0272 0.0399
JPT230 1 -0.1222 0.114 0.1316
JPT231 1 -0.1224 0.0242 -0.1322
JPT232 1 -0.1149 -0.1121 -0.0864
JPT233 1 -0.1212 -0.0366 -0.062
JPT234 1 -0.0798 0.1248 0.1543
JPT235 1 -0.1074 -0.0266 -0.0117
JPT236 1 -0.1053 0.0769 0.0302
JPT237 1 -0.122 0.0162 -0.1568
JPT238 1 -0.0812 -0.1347 -0.1203
JPT239 1 -0.1058 -0.0322 0.0084
JPT240 1 -0.1241 0.0201 0.0908
JPT241 1 -0.1265 0.0313 -0.0249
JPT242 1 -0.1002 -0.0498 0.0432
JPT243 1 -0.1327 0.0941 0.0306
JPT244 1 -0.1117 -0.1273 -0.0475
JPT245 1 -0.1153 -0.0282 -0.0319
JPT246 1 -0.1254 -0.0088 -0.0125
JPT247 1 -0.1202 -0.0012 -0.0536
JPT248 1 -0.1161 0.0714 0.0498
JPT249 1 -0.0929 -0.0152 0.067
JPT250 1 -0.1164 0.0841 -0.0639
JPT251 1 -0.1003 0.0142 -0.0231
JPT252 1 -0.1161 -0.2275 -0.0163
JPT253 1 0.0085 0.2107 0.1561
JPT254 1 -0.1334 0.0429 -0.0612
JPT255 1 -0.0761 -0.1619 -0.0018
JPT256 1 -0.1223 0.1406 -0.0613
JPT257 1 -0.0465 -0.164 -0.3167
JPT258 1 -0.0849 0.1246 0.0281
JPT259 1 -0.0966 -0.045 -0.0901
JPT260 1 -0.117 0.1068 -0.3014
JPT261 1 -0.1126 -0.0588 0.0408
JPT262 1 -0.0901 0.085 0.0131
JPT263 1 -0.1063 -0.1226 -0.0018
JPT264 1 -0.1309 -0.0599 0.0118
JPT265 1 -0.0811 0.1022 0.0367
JPT266 1 -0.1228 -0.0621 0.0442
JPT267 1 -0.132 0.0861 0.1126
JPT268 1 -0.0736 -0.0035 0.1374
JPT269 1 -0.1132 -0.0459 0.1262
